Index,Displacement,Force,Time
695,0.028722,126.3799,160.599998000001
696,0.028927,126.1039,162.600052
697,0.028321,126.3848,164.60007
698,0.028436,125.8639,166.600030000001
699,0.028322,125.599,168.600038
700,0.028197,125.7057,170.600094
701,0.027946,125.448,172.599974
702,0.028464,125.0579,174.599985
703,0.027854,124.6637,176.599977
704,0.027779,124.0186,178.599917
705,0.027946,123.6384,180.599982
706,0.027105,123.1389,182.600025
707,0.027835,122.7103,184.599989
708,0.027224,122.0422,186.600023
709,0.028111,121.7274,188.599914
710,0.027454,121.462,190.599905
711,0.028687,121.3214,192.599963000001
712,0.028014,120.8929,194.599976
713,0.026945,120.3314,196.599981
714,0.026716,120.0404,198.600034
715,0.026338,119.9966,200.600018
716,0.027329,119.6878,202.600008
717,0.027152,119.2504,204.600006000001
718,0.026786,119.1023,206.59995
719,0.026434,118.9234,208.599978
720,0.026914,118.2783,210.599928000001
721,0.027135,117.7852,212.599974
722,0.027297,117.3327,214.600008
723,0.027719,116.8418,216.6
724,0.026726,116.3763,218.599987000001
725,0.027004,115.9448,220.599986
726,0.026314,115.5214,222.600115
727,0.026178,115.4711,224.599928000001
728,0.025444,115.3283,226.599932
729,0.025791,115.1248,228.600133
730,0.026519,114.8921,230.600006000001
731,0.026284,114.6486,232.600004
732,0.027194,114.3437,234.599956
733,0.02723,113.88,236.599987000001
734,0.026557,113.543,238.599973
735,0.026722,113.4683,240.600061
736,0.025584,113.0432,242.599974
737,0.026545,112.5396,244.60004
738,0.026432,111.9586,246.599984
739,0.025593,111.7099,248.599957
740,0.026785,111.0568,250.599961
741,0.026258,110.8001,252.599996
742,0.026123,110.8025,254.600037
743,0.025699,110.5354,256.599955000001
744,0.026578,110.3666,258.59999
745,0.026323,110.0837,260.600036
746,0.025,109.9879,262.600012
747,0.025903,109.9034,264.600052
748,0.025685,109.9629,266.599943
749,0.025955,109.6584,268.599891
750,0.024814,109.2481,270.599966
751,0.026298,108.8986,272.599979000001
752,0.025508,108.5758,274.599937
753,0.02414,107.9949,276.600006000001
754,0.025566,107.6847,278.599954
755,0.025388,107.3317,280.599947
756,0.025182,106.9229,282.599969
757,0.025265,106.8677,284.599988
758,0.024884,106.1484,286.599971000001
759,0.025507,105.698,288.599939
760,0.024785,105.5891,290.600085
761,0.024094,105.5151,292.599964
762,0.024826,105.2993,294.599965
763,0.024472,104.6952,296.599949
764,0.02316,104.4752,298.599985
765,0.022682,104.3097,300.600027
766,0.025161,104.2969,302.600008
767,0.024405,103.9343,304.600048
768,0.023526,103.6774,306.599967
769,0.023145,103.4176,308.599988
770,0.025253,103.4127,310.599993
771,0.024239,103.0727,312.600006000001
772,0.02389,102.7056,314.599999
773,0.023422,102.3176,316.599951
774,0.023266,101.9258,318.599953
775,0.023787,101.8436,320.600105
776,0.024336,101.3472,322.60002
777,0.023874,100.9759,324.599952
778,0.023982,100.9033,326.600022000001
779,0.023387,101.067,328.599994
780,0.024043,101.1734,330.599993
781,0.024389,101.251,332.60001
782,0.024414,100.9008,334.599899
783,0.022862,100.8191,336.600009
784,0.023376,100.5333,338.599927
785,0.024768,100.0493,340.599933
786,0.024184,99.8019,342.599956
787,0.024266,99.4444,344.600048
788,0.023986,99.111,346.599938
789,0.022091,98.7354,348.600048
790,0.023883,98.159,350.600003
791,0.022891,98.1028,352.600004
792,0.023518,98.0589,354.599984
793,0.023254,97.4373,356.599977
794,0.023445,97.0321,358.599986
795,0.023203,96.534,360.600027
796,0.02272,96.326,362.599985
797,0.023787,96.055,364.600046
798,0.022934,95.761,366.59997
799,0.023375,95.1247,368.600014000001
800,0.022822,94.885,370.600019
801,0.02292,94.4208,372.60011
802,0.022288,94.2084,374.599983
803,0.021499,94.0294,376.600052
804,0.022499,93.7777,378.599977
805,0.022735,93.5128,380.600025
806,0.023034,93.218,382.59996
807,0.022105,92.8015,384.600064
