"E0",,,,
"Index [1]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]"
487,0.00478776,0.167571,35.1675,34.9999
488,0.0048053,0.168185,35.1681,34.9999
489,0.00481989,0.168696,35.1686,34.9999
490,0.0047788,0.167258,35.1672,34.9999
491,0.00477947,0.167281,35.1672,34.9999
492,0.00480038,0.168013,35.1679,34.9999
493,0.00481832,0.168641,35.1686,34.9999
494,0.00475759,0.166515,35.1664,34.9999
495,0.0048032,0.168112,35.168,34.9999
496,0.00481149,0.168402,35.1683,34.9999
497,0.00477899,0.167264,35.1672,34.9999
498,0.00481797,0.168628,35.1686,34.9999
499,0.00474884,0.166209,35.1661,34.9999
500,0.00476495,0.166773,35.1667,34.9999
501,0.00478262,0.167392,35.1673,34.9999
502,0.00481266,0.168443,35.1684,34.9999
503,0.00479017,0.167656,35.1676,34.9999
504,0.00476482,0.166768,35.1667,34.9999
505,0.00481858,0.16865,35.1686,34.9999
506,0.00481191,0.168416,35.1683,34.9999
507,0.00481536,0.168537,35.1685,34.9999
508,0.00479825,0.167938,35.1679,34.9999
509,0.00479134,0.167697,35.1676,34.9999
510,0.00478068,0.167324,35.1673,34.9999
511,0.00476688,0.166841,35.1668,34.9999
512,0.00478617,0.167516,35.1674,34.9999
513,0.00478269,0.167394,35.1673,34.9999
514,0.00478756,0.167564,35.1675,34.9999
515,0.00479589,0.167856,35.1678,34.9999
516,0.0047952,0.167832,35.1678,34.9999
517,0.0047846,0.167461,35.1674,34.9999
518,0.00478051,0.167317,35.1672,34.9999
519,0.00477878,0.167257,35.1672,34.9999
520,0.00481089,0.168381,35.1683,34.9999
521,0.00478806,0.167582,35.1675,34.9999
522,0.00478659,0.16753,35.1675,34.9999
523,0.00478146,0.167351,35.1673,34.9999
524,0.00477719,0.167201,35.1671,34.9999
525,0.00477538,0.167138,35.1671,34.9999
526,0.00478324,0.167413,35.1673,34.9999
527,0.00477401,0.16709,35.167,34.9999
528,0.00476801,0.16688,35.1668,34.9999
529,0.00477807,0.167232,35.1672,34.9999
530,0.00478159,0.167355,35.1673,34.9999
531,0.00477389,0.167086,35.167,34.9999
532,0.00478232,0.167381,35.1673,34.9999
533,0.004774,0.16709,35.167,34.9999
534,0.00476942,0.166929,35.1669,34.9999
535,0.00478271,0.167395,35.1673,34.9999
536,0.00477569,0.167149,35.1671,34.9999
537,0.00477555,0.167144,35.1671,34.9999
538,0.00477906,0.167267,35.1672,34.9999
539,0.00478004,0.167301,35.1672,34.9999
540,0.0047734,0.167069,35.167,34.9999
541,0.00477597,0.167159,35.1671,34.9999
542,0.00477262,0.167041,35.167,34.9999
543,0.00476588,0.166805,35.1667,34.9999
544,0.00476285,0.1667,35.1666,34.9999
545,0.00479234,0.167732,35.1677,34.9999
546,0.00477283,0.167049,35.167,34.9999
547,0.00475879,0.166557,35.1665,34.9999
548,0.00475346,0.166371,35.1663,34.9999
549,0.00474017,0.165906,35.1658,34.9999
